Element, Nterminals, Nconductors, V_1, Ang_1, ...
"Load.load_hvmv_sub_48332.3_model_1", 1, 2,    7563.44,    86.03,          0,     0.00
"Load.load_m1026657.1_model_1", 1, 2,    6199.24,   -43.23,          0,     0.00
"Load.load_r18242.1_model_1", 1, 2,    6830.99,   -40.18,          0,     0.00
"Load.load_r18242.2_model_1", 1, 2,    6657.89,  -160.97,          0,     0.00
"Load.load_r18242.3_model_1", 1, 2,    7068.24,    79.19,          0,     0.00
"Load.load_n1136663.1_model_1", 1, 2,     6447.4,   -42.71,          0,     0.00
"Load.load_n1136663.2_model_1", 1, 2,     6610.1,  -165.06,          0,     0.00
"Load.load_n1136663.3_model_1", 1, 2,    7206.15,    79.05,          0,     0.00
"Load.load_m1142843.1_model_1", 1, 2,    7309.31,   -37.57,          0,     0.00
"Load.load_m1142843.2_model_1", 1, 2,    7268.87,  -158.02,          0,     0.00
"Load.load_m1142843.3_model_1", 1, 2,    7487.44,    82.39,          0,     0.00
"Load.load_221_282819.1_model_1", 1, 2,    7039.03,   -39.09,          0,     0.00
"Load.load_r42247.1_model_1", 1, 2,    7333.75,   -37.37,          0,     0.00
"Load.load_r42247.2_model_1", 1, 2,    7294.16,  -157.78,          0,     0.00
"Load.load_r42247.3_model_1", 1, 2,    7499.75,    82.60,          0,     0.00
"Load.load_regxfmr_190_8593.1_model_1", 1, 2,     6516.5,   -42.41,          0,     0.00
"Load.load_regxfmr_190_8593.2_model_1", 1, 2,    6665.17,  -164.74,          0,     0.00
"Load.load_190_8593.1_model_1", 1, 2,    6516.03,   -42.42,          0,     0.00
"Load.load_190_8593.2_model_1", 1, 2,    6664.74,  -164.75,          0,     0.00
"Load.load_190_8593.3_model_1", 1, 2,    7247.36,    79.22,          0,     0.00
"Load.load_regxfmr_190_7361.1_model_1", 1, 2,    7018.84,   -39.29,          0,     0.00
"Load.load_regxfmr_190_7361.2_model_1", 1, 2,    6861.67,  -159.71,          0,     0.00
"Load.load_regxfmr_190_7361.3_model_1", 1, 2,    7122.13,    80.01,          0,     0.00
"Load.load_m1108378.1_model_1", 1, 2,    7039.27,   -39.09,          0,     0.00
"Load.load_m1125994.1_model_1", 1, 2,    7053.36,   -39.10,          0,     0.00
"Load.load_m1125994.2_model_1", 1, 2,    7073.07,  -160.24,          0,     0.00
"Load.load_m1125994.3_model_1", 1, 2,    7423.91,    81.37,          0,     0.00
"Load.load_m1108378.2_model_1", 1, 2,    7057.36,  -160.27,          0,     0.00
"Load.load_m1108378.3_model_1", 1, 2,    7422.07,    81.37,          0,     0.00
"Load.load_190_8581.1_model_1", 1, 2,    6865.89,   -40.34,          0,     0.00
"Load.load_190_8581.2_model_1", 1, 2,    6931.78,  -161.93,          0,     0.00
"Load.load_190_8581.3_model_1", 1, 2,    7371.63,    80.54,          0,     0.00
"Load.load_r20185.1_model_1", 1, 2,    7505.76,   -34.74,          0,     0.00
